"Cited.Cuatrecasas.Monograph.Taxa","Mcluster.phenodata.classification","Mcluster.phenodata.uncertainty","PC1","PC2","PC3"
"Espeletia.argentea.fma.phaneractis",2,0.000154490641395055,-1.4331972030299,0.0357039442313211,-0.535372054134314
"Espeletia.grandiflora.ssp.grandiflora.var.attenuata",2,2.32091552677671e-05,-0.324309454111536,-0.469880953010208,-0.423623609968709
"Espeletia.grandiflora.ssp.grandiflora.var.attenuata",2,0,-0.167882567225007,-0.122233267219686,-0.671695316423017
"Espeletia.grandiflora.ssp.grandiflora.var.attenuata",4,0,-0.796612716201642,-0.262658543921888,-0.585942098019384
"Espeletia.grandiflora.ssp.grandiflora.var.grandiflora",2,4.4375242935768e-07,-0.532133887310693,-0.314763419392768,-0.0925722439819652
"Espeletia.grandiflora.ssp.grandiflora.var.grandiflora",2,5.96855898038484e-13,-0.135942186033974,-0.305444672103919,-0.152504183685953
"Espeletia.grandiflora.ssp.grandiflora.var.grandiflora",2,1.86497484122583e-11,0.476337523893779,-0.88729838447362,0.0590332808236957
"Espeletia.grandiflora.ssp.grandiflora.var.grandiflora",2,0,0.332957712091952,-0.28560409897817,-0.355718930408322
"Espeletia.grandiflora.ssp.grandiflora.var.grandiflora",2,3.48728890209316e-09,0.651831234823804,-0.564109900729027,-0.0548581866922912
"Espeletia.grandiflora.ssp.grandiflora.var.grandiflora",2,0,1.29071288823842,-0.615685672067259,-0.43700040143942
"Espeletia.grandiflora.ssp.grandiflora.var.grandiflora",2,1.45478272428612e-07,-0.293639157006419,-0.154986762911954,-0.245243285118113
"Espeletia.killipii",5,8.30805919934674e-05,1.34849112173067,0.0613169574675272,0.143427586819514
"Espeletia.killipii",5,7.16272141111363e-05,1.25395477482403,0.177296590851019,-0.0246540139715751
"Espeletia.killipii",5,0.000299674309374498,1.46121067190693,0.112954130801528,0.165467481025431
"Espeletia.killipii.var.chisacana",5,0.00439124326637985,1.63872994256117,0.0450835635892541,0.105906050206775
"Espeletia.killipii.var.chisacana",5,1.32878930991787e-06,1.3078096473517,-0.0603242333212493,0.149899437485253
"Espeletia.killipii.var.chisacana",5,2.4730123856509e-06,1.49889713144504,-0.150230740563051,-0.0200765695825336
"Espeletia.killipii.var.killipii",5,5.02065886579528e-05,1.40520698047879,0.148531160784308,0.0626045320966187
"Espeletia.summapacis",1,0.000808130824451969,1.82163952146144,0.557999559308424,-0.113288734319249
"Espeletia.summapacis",1,0.270914851334041,1.73160829951679,0.747613950832022,-0.344969588895344
"Espeletia.summapacis",1,0.0110917613050758,2.00248529322038,0.7156813832721,-0.352751093454677
"Espeletia.summapacis",1,0.0132770073786781,1.64070621731302,0.606950456049107,-0.271201910791587
