"Collector.Collection.Number","modelo.1.marzo","modelo.2.marzo","modelo.octubre","modelo.junio","Phenotypic.Group"
1001,2,1,NA,NA,2
1002,2,1,1,1,5
1003,2,1,1,1,3
1004,2,1,2,1,3
1006,2,1,2,1,5
1007,2,1,1,1,5
1008,2,1,1,1,5
1009,2,1,1,1,4
1010,2,1,1,1,2
1011,2,1,1,1,2
1012,2,1,1,1,5
1013,2,1,2,1,5
1014,2,1,1,1,3
1015,2,1,1,1,5
1017,2,1,1,1,2
1018,2,1,1,1,2
1020,2,1,1,1,4
1022,1,1,2,1,4
1024,2,1,1,1,5
1025,2,1,1,NA,5
1026,1,2,NA,NA,5
1027,2,1,1,1,2
1028,2,1,1,1,3
1029,2,1,1,NA,3
1030,2,1,2,2,3
1031,2,1,1,1,4
1032,2,1,2,1,5
1033,2,1,1,1,3
1034,2,1,1,1,3
1035,2,1,1,1,3
1036,2,1,1,1,3
1037,2,1,1,2,3
1038,2,1,1,2,3
1039,2,1,1,2,3
1040,2,1,1,2,3
1041,2,1,1,1,3
1042,2,1,1,1,4
